algorithm,rp,frac,mult,penalty,origin_node,shelter_node,physical_m,flooded_m,penalized_m_eq
B+,RP100,0.25,1.0,10.0,1056,33,1652.0759610330977,0.0,1210971.6794372606
B+,RP100,0.25,1.0,10.0,1154,33,1740.5053785844382,0.0,1075632.3239651828
B+,RP100,0.25,1.0,10.0,1163,33,5354.8246186448205,0.0,1917027.2134748457
B+,RP100,0.25,1.0,10.0,1301,58,2544.150732329454,0.0,1053278.403184394
B+,RP100,0.25,1.0,10.0,1336,33,859.229269403075,0.0,171845.853880615
B+,RP100,0.25,1.0,10.0,1504,33,808.5162144878386,0.0,348470.48844425846
B+,RP100,0.25,1.0,10.0,1514,58,1652.635626094149,0.0,2921859.7869344554
B+,RP100,0.25,1.0,10.0,195,58,5738.9111726392775,0.0,8246815.355082642
B+,RP100,0.25,1.0,10.0,238,33,868.8811327815889,0.0,740286.7251299138
B+,RP100,0.25,1.0,10.0,361,58,1253.0011752040054,0.0,1088858.0212522808
B+,RP100,0.25,1.0,10.0,389,33,3333.170480577524,0.0,1923239.3672932312
B+,RP100,0.25,1.0,10.0,390,33,3180.9029624307136,0.0,982899.0153910905
B+,RP100,0.25,1.0,10.0,396,58,7912.30916661711,0.0,1582461.8333234221
B+,RP100,0.25,1.0,10.0,442,58,168.24040536523307,0.0,91691.02092405202
B+,RP100,0.25,1.0,10.0,447,58,3500.1053484427416,0.0,1323039.8217113563
B+,RP100,0.25,1.0,10.0,49,33,547.7312512797192,0.0,394914.2321726776
B+,RP100,0.25,1.0,10.0,50,33,60.37126917166372,0.0,6097.498186338035
B+,RP100,0.25,1.0,10.0,502,58,5258.492897745828,0.0,1272555.2812544904
B+,RP100,0.25,1.0,10.0,507,58,5039.7052483936395,0.0,1970524.752121913
B+,RP100,0.25,1.0,10.0,585,58,1108.1028755774953,0.0,360133.43456268596
B+,RP100,0.25,1.0,10.0,63,33,416.0472721621412,0.0,51589.86174810551
B+,RP100,0.25,1.0,10.0,703,33,2783.3770129393774,0.0,3170266.417737951
B+,RP100,0.25,1.0,10.0,821,58,2240.6929161713533,0.0,1330971.5922057838
B+,RP100,0.25,1.0,10.0,834,58,3268.296898271181,0.0,1039318.4136502355
B+,RP100,0.25,1.0,10.0,837,58,2043.9516929063295,0.0,1653556.9195612206
C,RP100,0.25,1.0,10.0,1056,33,1652.0759610330977,0.0,1210971.6794372606
C,RP100,0.25,1.0,10.0,1154,33,1740.5053785844382,0.0,1075632.3239651828
C,RP100,0.25,1.0,10.0,1163,33,5354.8246186448205,0.0,1917027.2134748457
C,RP100,0.25,1.0,10.0,1301,58,2544.150732329454,0.0,1053278.403184394
C,RP100,0.25,1.0,10.0,1336,33,859.229269403075,0.0,171845.853880615
C,RP100,0.25,1.0,10.0,1504,33,808.5162144878386,0.0,348470.48844425846
C,RP100,0.25,1.0,10.0,1514,58,1652.635626094149,0.0,2921859.7869344554
C,RP100,0.25,1.0,10.0,195,58,5738.9111726392775,0.0,8246815.355082642
C,RP100,0.25,1.0,10.0,238,33,868.8811327815889,0.0,740286.7251299138
C,RP100,0.25,1.0,10.0,361,58,1253.0011752040054,0.0,1088858.0212522808
C,RP100,0.25,1.0,10.0,389,33,3333.170480577524,0.0,1923239.3672932312
C,RP100,0.25,1.0,10.0,390,33,3180.9029624307136,0.0,982899.0153910905
C,RP100,0.25,1.0,10.0,396,58,7912.30916661711,0.0,1582461.8333234221
C,RP100,0.25,1.0,10.0,442,58,168.24040536523307,0.0,91691.02092405202
C,RP100,0.25,1.0,10.0,447,58,3500.1053484427416,0.0,1323039.8217113563
C,RP100,0.25,1.0,10.0,49,33,547.7312512797192,0.0,394914.2321726776
C,RP100,0.25,1.0,10.0,50,33,60.37126917166372,0.0,6097.498186338035
C,RP100,0.25,1.0,10.0,502,58,5258.492897745828,0.0,1272555.2812544904
C,RP100,0.25,1.0,10.0,507,58,5039.7052483936395,0.0,1970524.752121913
C,RP100,0.25,1.0,10.0,585,58,1108.1028755774953,0.0,360133.43456268596
C,RP100,0.25,1.0,10.0,63,33,416.0472721621412,0.0,51589.86174810551
C,RP100,0.25,1.0,10.0,703,33,2783.3770129393774,0.0,3170266.417737951
C,RP100,0.25,1.0,10.0,821,58,2240.6929161713533,0.0,1330971.5922057838
C,RP100,0.25,1.0,10.0,834,58,3268.296898271181,0.0,1039318.4136502355
C,RP100,0.25,1.0,10.0,837,58,2043.9516929063295,0.0,1653556.9195612206
